species,lon,lat,group
arabis,6.08037,45.03917,11
arabis,6.20726,45.03558,11
arabis,6.20468,44.9906,11
arabis,6.13877,44.94743,11
arabis,5.87613,44.77435,11
arabis,5.71051,45.27402,11
arabis,6.21501,45.17053,11
arabis,6.1565,45.26232,11
arabis,6.00725,44.86096,11
arabis,5.93929,44.77269,11
arabis,5.62558,44.82561,11
arabis,5.56236,44.82709,11
arabis,5.89001,45.04427,11
arabis,5.84485,45.40584,11
arabis,5.96299,45.22256,11
arabis,5.44964,45.14492,11
arabis,5.7127,45.31902,11
arabis,5.57681,45.14205,11
arabis,-0.15758,43.08414,11
arabis,0.66747,42.91513,11
arabis,0.10227,42.90365,11
arabis,0.29147,42.87938,11
arabis,0.67359,43.00029,11
arabis,0.66752,43.23878,11
arabis,0.04371,42.92341,11
arabis,-0.21831,43.01669,11
arabis,0.17817,42.78453,11
arabis,0.77927,42.91992,11
arabis,1.41721,44.86949,11
arabis,0.57467,42.79446,11
arabis,6.09148,46.39059,11
arabis,5.315,44.96764,11
arabis,6.71391,45.96635,11
arabis,6.05623,45.76073,11
arabis,6.80014,46.27903,11
arabis,6.59962,46.1954,11
arabis,6.64345,45.8785,11
arabis,6.25966,45.93529,11
arabis,6.79702,46.23405,11
arabis,6.80327,46.324,11
arabis,6.45589,45.97453,11
arabis,6.71695,46.01133,11
arabis,6.84289,45.96205,11
arabis,6.45872,46.01951,11
arabis,6.91056,46.00481,11
arabis,6.59078,46.06047,11
arabis,6.52328,46.01752,11
arabis,6.77531,45.91925,11
arabis,6.53485,46.19744,11
arabis,6.78149,46.00919,11
arabis,6.78459,46.05416,11
arabis,6.69879,45.74148,11
arabis,6.76609,45.78433,11
arabis,6.7784,45.96422,11
arabis,8.510096,47.818023,11
arabis,8.431553,46.726929,11
arabis,13.614722,47.549168,11
arabis,14.516111,47.824444,11
arabis,13.523334,48.584446,11
arabis,6.51349,47.1109,11
arabis,6.0136,45.29748,11
arabis,5.92999,45.40665,11
arabis,6.62665,44.26188,11
arabis,6.64837,45.17415,11
arabis,6.46984,44.9957,11
arabis,6.80349,44.65264,11
arabis,5.77175,44.73243,11
arabis,0.62699,42.73494,11
arabis,6.74346,46.08792,11
arabis,5.61065,44.97316,11
arabis,5.76428,45.70186,11
arabis,6.76286,44.21458,11
arabis,6.1081,46.60694,11
arabis,6.11335,45.06078,11
arabis,5.91001,44.89816,11
arabis,6.07936,44.88144,11
arabis,6.4605,45.90025,11
arabis,6.76657,45.66492,11
arabis,5.59017,45.12096,11
arabis,5.23047,44.86411,11
arabis,5.88571,45.33409,11
arabis,6.72901,45.25504,11
arabis,5.68449,44.74669,11
arabis,6.90331,43.73729,11
arabis,5.79787,45.33144,11
arabis,6.76527,44.85332,11
arabis,4.92049,47.33946,11
arabis,9.00017,42.0848,11
arabis,8.93712,42.02537,11
arabis,9.07744,42.12789,11
arabis,8.94838,42.40263,11
arabis,8.93499,42.25937,11
arabis,9.24008,42.05385,11
arabis,9.23311,42.3503,11
arabis,8.967,42.05908,11
arabis,9.13234,41.99279,11
arabis,9.24686,42.5315,11
arabis,9.14201,42.27028,11
arabis,9.12391,42.23546,11
arabis,9.43454,42.36438,11
arabis,9.23952,42.00503,11
arabis,9.02728,42.24571,11
arabis,8.9376,42.34318,11
arabis,9.33238,42.35872,11
arabis,9.02529,42.05754,11
arabis,9.08415,42.23334,11
arabis,9.15029,42.24302,11
arabis,9.10159,42.56831,11
arabis,9.23064,41.83327,11
arabis,9.2022,41.93396,11
arabis,9.39169,42.6718,11
arabis,9.22359,42.00242,11
arabis,9.3099,42.0749,11
arabis,9.40327,42.72933,11
arabis,8.99015,42.07265,11
arabis,9.02946,42.04449,11
arabis,9.21277,42.00715,11
arabis,9.22686,42.38043,11
arabis,9.0846,42.21481,11
arabis,9.04577,42.04384,11
arabis,9.25072,42.34422,11
arabis,9.2466,41.85582,11
arabis,8.85682,42.15672,11
arabis,9.03462,41.94171,11
arabis,9.13346,42.07248,11
arabis,9.09436,42.42854,11
arabis,8.97621,42.52219,11
arabis,9.25104,42.50284,11
arabis,9.12396,42.20688,11
arabis,9.2059,42.58958,11
arabis,9.39208,42.82426,11
arabis,9.02461,42.07153,11
arabis,9.16498,42.06815,11
arabis,9.09491,42.28526,11
arabis,8.98063,42.39066,11
arabis,9.07442,42.27969,11
arabis,9.18443,42.37808,11
arabis,9.15712,42.10483,11
